id,title,description,status,priority,requestor,assignee,closed_by,created_at,updated_at,blocks,blocked_by
m-36ea,Remove unused method: short() from diff.rs,Method is used in output.rs:940. DO NOT REMOVE.,closed,1,rushmode,rushmode,rushmode,2025-12-29T06:36:52.011Z,2025-12-29T06:38:21.992Z,,
m-099b,Remove unused method: symbols_by_type() from index.rs,Unused method at ./src/index.rs:196,closed,1,rushmode,rushmode,rushmode,2025-12-29T06:36:56.403Z,2025-12-29T06:37:55.446Z,,
m-1f13,Remove unused test functions from test_files/,"Test files (example.c, sample.py, test.py) contain unused functions intentionally for parsing test coverage. These are sample data files, not actual tests.",closed,1,rushmode,rushmode,rushmode,2025-12-29T06:37:00.160Z,2025-12-29T06:38:04.130Z,,
m-5ae4,Remove dead functions from git.rs,"Removed list_files_at_commit() and get_commit_info() - never called, superseded by get_changed_files() and integrated logic",closed,1,rushmode,rushmode,rushmode,2025-12-29T06:45:22.883Z,2025-12-29T06:45:24.650Z,,
m-bb68,cm trace fails despite direct caller relationship,"cm callers cmd_query returns main, but cm trace main cmd_query fails. BFS misses Rust match arm calls. Core feature broken.",closed,0,opus,opus,opus,2025-12-29T07:36:50.129Z,2025-12-29T07:48:22.345Z,,
m-860c,cm query should default to fuzzy matching,Exact match default is counter-intuitive. Help says 'always use --fuzzy' but it's not the default. Invert to --exact flag.,closed,0,opus,opus,opus,2025-12-29T07:36:50.165Z,2025-12-29T07:48:22.345Z,,
m-5695,cm query needs --limit flag,100+ results blow agent context window. Add --limit N to cap output. High priority for token efficiency.,closed,0,opus,opus,opus,2025-12-29T07:36:50.198Z,2025-12-29T07:48:22.345Z,,
m-66a8,cm untested floods with markdown noise,Returns 200+ headings/code blocks from .md files. Real untested code buried. Add --code-only or exclude markdown by default.,closed,1,opus,opus,opus,2025-12-29T07:36:50.231Z,2025-12-29T14:43:59.751Z,,
m-cbd3,cm diff needs file-level filtering,ALREADY WORKS: cm diff HEAD~3 src/main.rs filters correctly. Path parameter exists and is implemented. Close this as invalid - feature already exists.,closed,1,opus,opus,opus,2025-12-29T07:36:50.263Z,2025-12-29T14:45:29.765Z,,
m-ac44,cm callers/callees silent on nonexistent symbols,Returns 'No calls found' for both missing symbols AND symbols with no calls. Should distinguish: 'Symbol not found' vs 'No callers'.,closed,1,opus,opus,opus,2025-12-29T07:36:50.293Z,2025-12-29T14:46:26.292Z,,
m-c8a2,Invalid flag values silently fallback,--format badformat warns but continues. --context invalid is silent. Both should error with valid options list.,closed,1,opus,opus,opus,2025-12-29T07:37:05.391Z,2025-12-29T14:48:45.570Z,,
m-884a,cm snapshot/compare noisy with doc changes,Code block changes in markdown pollute diff output. Add --code-only or --symbol-types filter.,open,2,opus,opus,,2025-12-29T07:37:05.430Z,2025-12-29T07:37:05.430Z,,
m-a173,cm implements returns self-impls mixed with trait impls,impl Foo mixed with impl Trait for Foo. Add --interface-only to filter actual trait implementations.,open,2,opus,opus,,2025-12-29T07:37:05.463Z,2025-12-29T07:37:05.463Z,,
m-0ab9,Add --format json for structured output,All formats are human-readable text. JSON enables reliable programmatic parsing for agent automation workflows.,open,2,opus,opus,,2025-12-29T07:37:05.497Z,2025-12-29T07:37:05.497Z,,
m-6cc6,cm test-deps confusing output for tests without imports,Valid test file with no external imports returns 'No production symbols'. Should clarify: 'Test has no external imports'.,open,2,opus,opus,,2025-12-29T07:37:05.527Z,2025-12-29T07:37:05.527Z,,
m-8871,Fast mode activation unclear,Help says auto-enables at 1000+ files but behavior unclear on small repos. Add --show-cache-info to stats.,open,2,opus,opus,,2025-12-29T07:37:05.558Z,2025-12-29T07:37:05.558Z,,
m-643c,cm query flag order confusing,Tried 'cm query find_untested --exact' but got error. Flag must come BEFORE symbol name. Natural to put flags after positional args. Consider: allow flags in any position OR improve error message to suggest correct placement.,closed,2,opus,opus,opus,2025-12-29T14:45:06.673Z,2025-12-29T14:51:28.929Z,,
m-2e7a,cm callers/callees need --limit flag,cm query has --limit flag but callers/callees don't. These commands can also return huge output. Add --limit N flag to cap results for token efficiency.,closed,1,opus,opus,opus,2025-12-29T14:45:11.573Z,2025-12-29T14:48:45.570Z,,
